KARGO_ID,TRAVEL,PERSONAL_FINANCE,FAMILY_PARENTING,LAW_GVT_POLITICS,AUTOMOTIVE,ARTS_ENTERTAINMENT,FOOD_DRINK,HOBBIES_INTERESTS,SPORTS,HOME_GARDEN,NEWS,BUSINESS,HEALTH_FITNESS,TECHNOLOGY_COMPUTING
229bbbd5-e70c-44cd-989d-2f157c20ae1c,0,0,0,0,0,12,0,0,0,0,0,0,0,0
79ad1480-78cb-4719-a922-aea991168d34,0,0,0,0,0,2,0,0,0,0,0,0,0,0
d84d64cb-2648-47e2-afbf-b3314af761aa,0,0,0,0,0,0,0,0,0,0,3,2,0,0
7e736f07-21ce-4418-aab8-505880eb451d,0,0,0,0,0,0,0,0,0,0,2,1,0,0
6758a76c-5e68-4877-b028-5e5896e1606e,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80b3bb22-1ca1-4141-ab29-56eaa722841a,0,0,0,0,0,0,0,0,0,0,2,0,0,0
334052e1-6800-4d8a-bed5-e580d1ea9f0e,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2d10d896-4126-4577-b35c-0be48d7e8fe7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
06d2b23f-6bd5-4952-b07e-7d77394b8e0e,0,0,0,0,0,2,0,0,0,0,0,0,0,0
d3e129f4-430f-4a45-b0d5-342f20e15a38,0,0,0,0,0,1,0,0,0,0,0,0,0,0
d1e96a24-61f5-4b38-a1f9-1a443f353b23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c37a23a6-ce0a-4e32-b153-e5e7c02fe59d,0,0,0,0,0,12,0,0,0,0,0,0,0,0
772bf9d8-3cbe-47c6-accb-c153614e7662,0,0,0,0,0,1,0,0,0,0,0,0,0,0
b281805e-93b0-4cca-933f-d6bc06ec3484,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7586ac60-533e-4dea-ad42-96e48b205a03,0,0,0,0,0,3,0,0,0,0,0,0,0,0
64113d10-9846-4166-953d-37ea98366db9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
e610f262-96b0-41cb-8527-636fde345143,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ed9da98f-9096-431f-ab5f-d21aadfff66b,0,0,0,0,0,0,1,0,0,0,0,0,0,0
b37fce6d-5471-4ca6-a92c-c162b067d3f7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
866d34ce-589b-4624-ae9f-38646bcba539,0,0,0,0,0,0,0,0,0,0,1,0,0,0
e6a6cc4a-801a-4e06-96aa-bac1c70e40a3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4d067f28-68c7-404c-856a-1cf5cb6d14e8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
442ecbea-b2ed-4b30-879c-d1c8f49c0aa1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
417d57cb-0a83-4c73-be88-8d0ca98a284c,0,0,0,0,0,1,0,0,0,0,0,0,0,0
372cf469-239c-4f5a-9194-233f45d7900a,0,0,0,0,0,4,0,0,0,0,0,0,0,0
b6283bbc-e481-4065-8b24-8b58ee8308a5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75f96461-dc98-40a2-9228-b186e8c1fec6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fd9be6b5-e5d1-4566-a4e5-8ee9f5a62a89,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adb96906-aa7a-43bd-9a54-6b1b6a53575f,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75a8f18f-aceb-43ce-96e5-15125b87f860,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1ba5ed53-775c-4d36-9151-387ebd6676a2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cb645977-89f1-433d-b593-335b0b04b282,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16f8283e-2e8e-4e33-90b9-bcb6bf620fd6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2916d52c-6c31-4694-bf94-3dd604df7a22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
773fed2a-0a12-4f11-97b2-c58f52dc0ef3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
c645aa03-6a6c-4bae-8db3-2ebf4e011117,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0f9b7938-e696-4e35-bf1a-ff1fe2d98026,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2982e111-97ca-4946-9a31-912d65b0f173,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d77ab2f8-d613-4438-a519-9b8403a23e8c,0,0,0,0,0,2,0,0,0,0,0,0,0,0
b3fa7118-7f32-496d-9d43-a1ce6a4352f3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5cc3a214-9a4f-4a80-8f4c-66eb3fc7edd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
